epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,918.347,0.78109,0.7909,0.00574,0.79508,0.89189,0.90466,0.77295,0.58488,0.67316,0.0067,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,939.412,0.75593,0.78841,0.00573,0.90603,0.81081,0.92091,0.77134,0.62752,0.6267,0.00729,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,960.437,0.82154,0.81392,0.00575,0.8918,0.82432,0.91676,0.7889,0.57734,0.6308,0.00677,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,981.689,0.74919,0.77644,0.00557,0.8617,0.84203,0.90706,0.77031,0.6149,0.65703,0.00736,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,1002.7,0.71569,0.76526,0.00519,0.84225,0.79372,0.87481,0.73764,0.60361,0.74802,0.00723,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,1023.65,0.76223,0.75293,0.00534,0.87724,0.7973,0.88454,0.74735,0.62056,0.75397,0.00741,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,1044.59,0.77622,0.76221,0.00511,0.84449,0.82432,0.86599,0.72735,0.62592,0.82015,0.00714,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,1065.78,0.78067,0.73773,0.00535,0.8723,0.7973,0.87531,0.75099,0.59745,0.79775,0.0068,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,1086.82,0.7192,0.74249,0.00519,0.89256,0.78587,0.87522,0.74116,0.60851,0.77858,0.00681,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,1107.78,0.78989,0.76081,0.00478,0.81271,0.78378,0.86556,0.74604,0.58265,0.80287,0.00663,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,1128.72,0.71454,0.65157,0.00465,0.85499,0.79679,0.87993,0.73619,0.62505,0.77544,0.00711,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,1150.02,0.75859,0.75625,0.00475,0.77573,0.82432,0.8788,0.7464,0.62348,0.72103,0.00713,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,1170.93,0.7551,0.72019,0.00523,0.69092,0.89189,0.8467,0.71829,0.61001,0.78601,0.00691,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,1192.05,0.70738,0.68895,0.00548,0.8325,0.77027,0.83805,0.70749,0.63032,0.93235,0.00707,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,1213.15,0.699,0.71872,0.00502,0.76752,0.81081,0.86053,0.72947,0.62049,0.81087,0.00682,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,1234.57,0.7247,0.69299,0.00517,0.78385,0.86486,0.85049,0.73091,0.58153,0.75723,0.00636,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,1255.73,0.7695,0.70873,0.00477,0.76531,0.83784,0.86039,0.73166,0.62913,0.81736,0.00688,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,1276.86,0.71425,0.67398,0.005,0.80949,0.80393,0.81832,0.69449,0.60981,0.95868,0.00721,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,1297.99,0.74803,0.66717,0.00484,0.83025,0.78378,0.84246,0.72212,0.61366,0.84483,0.0072,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,1319.38,0.71221,0.65744,0.00505,0.81529,0.7973,0.84522,0.72978,0.57983,0.90591,0.00658,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,1340.49,0.72665,0.69772,0.00463,0.76898,0.81081,0.81028,0.68438,0.63708,0.94317,0.00754,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,1361.45,0.7991,0.71134,0.00526,0.8448,0.80915,0.85358,0.72944,0.61691,0.84687,0.00675,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,1382.35,0.72952,0.73532,0.00521,0.81716,0.81081,0.83919,0.70501,0.60437,0.86273,0.0067,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,1403.54,0.67505,0.67198,0.00519,0.81774,0.81081,0.86138,0.73273,0.61992,0.82033,0.00677,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,1424.41,0.7362,0.68002,0.00488,0.8587,0.78378,0.85797,0.72318,0.64359,0.82526,0.00742,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,1445.4,0.68561,0.62963,0.00462,0.89183,0.77996,0.8735,0.75157,0.58365,0.78425,0.00648,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
