epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,63.7469,0.90941,1.09139,0.95449,0.98396,1,0.995,0.61101,1.2614,1.02271,1.07431,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
77,64.5206,0.96319,1.22449,0.9761,0.98657,1,0.995,0.62277,1.27483,0.98861,1.08091,0.0031857,0.0010619,0.0031857,0.0010619,0.0031857,0.0010619,0.0031857,0.0010619
78,65.3377,0.93284,1.11554,0.97031,0.99141,1,0.995,0.61378,1.32294,0.96029,1.10473,0.00317827,0.00105942,0.00317827,0.00105942,0.00317827,0.00105942,0.00317827,0.00105942
79,66.1496,0.97935,1.14188,0.97634,0.99138,1,0.995,0.60859,1.31958,0.9747,1.09856,0.00317085,0.00105695,0.00317085,0.00105695,0.00317085,0.00105695,0.00317085,0.00105695
80,66.9263,0.91756,1.18372,0.97323,0.98837,1,0.995,0.61105,1.30233,0.94781,1.0928,0.00316342,0.00105448,0.00316342,0.00105448,0.00316342,0.00105448,0.00316342,0.00105448
81,67.7438,0.87275,1.02708,0.94176,0.98099,1,0.995,0.62455,1.2788,0.93559,1.08965,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
82,68.5343,0.80344,1.04233,0.92018,0.97874,1,0.995,0.63405,1.30121,0.94205,1.09762,0.00314857,0.00104952,0.00314857,0.00104952,0.00314857,0.00104952,0.00314857,0.00104952
83,69.3527,0.79483,1.01921,0.9267,0.98184,1,0.995,0.6413,1.27828,0.9748,1.09122,0.00314115,0.00104705,0.00314115,0.00104705,0.00314115,0.00104705,0.00314115,0.00104705
84,70.1725,0.81956,0.97969,0.92653,0.98607,1,0.995,0.63328,1.309,0.96917,1.10958,0.00313372,0.00104458,0.00313372,0.00104458,0.00313372,0.00104458,0.00313372,0.00104458
85,70.9459,0.89715,1.02269,0.95058,0.98846,1,0.995,0.6252,1.32932,0.96617,1.12251,0.0031263,0.0010421,0.0031263,0.0010421,0.0031263,0.0010421,0.0031263,0.0010421
86,71.7596,0.77422,1.00609,0.95574,0.98841,1,0.995,0.64307,1.34268,0.94248,1.13585,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
87,72.5744,0.84409,1.10759,0.96422,0.97441,0.99532,0.995,0.63633,1.31414,0.91907,1.11083,0.00311145,0.00103715,0.00311145,0.00103715,0.00311145,0.00103715,0.00311145,0.00103715
88,73.345,0.92238,1.07674,0.95753,0.96835,0.99526,0.995,0.6239,1.33621,0.91547,1.12015,0.00310402,0.00103468,0.00310402,0.00103468,0.00310402,0.00103468,0.00310402,0.00103468
89,74.165,0.88696,1.01213,0.97056,0.96839,0.99361,0.995,0.63195,1.37499,0.92548,1.14052,0.0030966,0.0010322,0.0030966,0.0010322,0.0030966,0.0010322,0.0030966,0.0010322
90,74.9371,0.88139,1.06343,0.96553,0.98513,0.99458,0.995,0.63545,1.34616,0.93431,1.12983,0.00308917,0.00102972,0.00308917,0.00102972,0.00308917,0.00102972,0.00308917,0.00102972
91,75.7525,0.80693,1.03278,0.92567,0.98363,1,0.995,0.63193,1.38029,0.93493,1.14059,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
92,76.5764,0.88653,1.03056,0.9538,0.97781,1,0.995,0.60953,1.42481,0.93702,1.15347,0.00307433,0.00102478,0.00307433,0.00102478,0.00307433,0.00102478,0.00307433,0.00102478
93,77.3482,0.81772,1.03193,0.9372,0.9759,1,0.995,0.60869,1.48125,0.9563,1.17627,0.0030669,0.0010223,0.0030669,0.0010223,0.0030669,0.0010223,0.0030669,0.0010223
94,78.176,0.83475,1.01683,0.93449,0.97981,1,0.995,0.6193,1.45987,0.95127,1.17912,0.00305947,0.00101983,0.00305947,0.00101983,0.00305947,0.00101983,0.00305947,0.00101983
