epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,45.481,0.76793,1.06332,0.98959,0.82119,0.80303,0.76714,0.37309,2.10004,1.2076,2.48821,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,46.0777,0.70909,1.03504,0.92856,0.82107,0.80303,0.76556,0.36946,2.0897,1.22748,2.45004,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,46.7568,0.75888,1.03223,0.88764,0.82163,0.80303,0.76556,0.37107,2.08128,1.21225,2.42435,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,47.349,0.73849,1.0992,0.94424,0.82092,0.80303,0.75722,0.37249,2.05682,1.19339,2.38294,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,47.9893,0.80774,1.0768,0.91744,0.78852,0.77273,0.70579,0.37565,2.04068,1.2086,2.33358,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,48.5784,0.73872,1.03197,0.91084,0.78935,0.77273,0.70441,0.37214,2.05091,1.22938,2.35008,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,49.1721,0.78064,1.07108,0.94095,0.78898,0.77273,0.70507,0.37101,2.06616,1.22079,2.39289,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,49.7627,0.75907,0.97925,0.91604,0.78884,0.77273,0.70746,0.37146,2.06671,1.18457,2.42596,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,50.3539,0.74514,1.02171,0.90998,0.78859,0.77273,0.70103,0.37823,2.04707,1.18359,2.40086,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,50.9445,0.72833,0.9904,0.90376,0.78852,0.77273,0.69805,0.37489,2.04572,1.19001,2.39006,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
